Name;parole
KYLO REN ; He's carrying a section of a navigational chart. We have the rest, recovered from archives of the Empire. We need the last piece. And somehow, you convinced the droid to show it to you. You. A scavenger --
KYLO REN ; You know I can take whatever I want.
KYLO REN ; You're so lonely so afraid to leave At night, desperate to sleep you imagine an ocean. I see it  I see the island
KYLO REN ; And Han Solo. You feel like he's the father you never had. He would've disappointed you.
REY ; Get out of my head
KYLO REN ; I know you've seen the map. It's in there... and now you'll give it to me. Don't be afraid. I feel it too.
REY ; I'm not giving you anything.
KYLO REN ; We'll see.
REY ; You you're afraid that you will never be as strong as  Darth Vader!
SNOKE ; This scavenger, resisted you?
KYLO REN ; She's strong with the Force, untrained but, stronger than she knows.
SNOKE ; And the droid?
GENERAL HUX ; Ren believed it was no longer valuable to us.
GENERAL HUX ; That the girl was all we needed. As a result, the droid has most likely been returned to the hands of the enemy. They may have the map already.
SNOKE ; Then the Resistance must be destroyed before they get to Skywalker.
GENERAL HUX ; We have their location. We tracked their reconnaissance ship to the Ileenium system.
SNOKE ; Good. Then we will crush them once and for all. Prepare the weapon.
KYLO REN ; Supreme Leader. I can get the map from the girl. I just need your guidance.
SNOKE ; If what you say about this girl is true, bring her to me.
REY ; You will remove these restraints. And leave this cell, with the door open.
TROOPER GUARD 2; What did you say?
REY ; You will remove these restraints. And leave this cell, with the door open.
TROOPER GUARD 2; I'll tighten those restraints, scavenger scum!
REY ; You will remove these restraints. And leave this cell, with the door open.
TROOPER GUARD 2; I will remove these restraints. And leave this cell, with the door open.
REY ; And you will drop your weapon.
TROOPER GUARD 2; And I'll drop my weapon.
KYLO REN ; NO!
GENERAL HUX ; Begin charging the weapon!
STARKILLER TECHNICIAN ; Yes, sir. Weapon charging.
POE ; The scan data from Snap's reconnaissance flight confirms Finn's report.
SNAP ; They've somehow created a hyper lightspeed weapon built within the planet itself.
BRANCE ; A laser cannon?
SNAP ;  We're not sure how to describe a weapon of this scale.
MAJOR EMATT ;  It's another Death Star.
POE ; I wish that were the case, Major. This was the Death Star. This is Starkiller Base.
HAN ; So it's big.
ADMIRAL ACKBAR ; How is it possible to power a weapon of this size?
FINN ; It uses the power of the sun. As the weapon is charged, the sun is drained until it disappears.
LEIA ; The First Order they're charging the weapon again, now. Our system is the next target.
C-3PO; Oh my. Without the Republic fleet, we're doomed.
HAN ; Okay, how do we blow it up? There's always a way to do that.
LEIA ; Han's right.
ADMIRAL STATURA ; In order for that amount of power to be contained, that base would need some kind of thermal oscillator...
FINN ; There is one.
FINN ;Precinct 47. Here.
ADMIRAL STATURA ; If we can destroy that oscillator, it might de-stabilize the core an cripple the weapon.
MAJOR EMATT ; Maybe the planet.
POE ; We'll go in there and we'll hit that oscillator with everything we got.
ADMIRAL ACKBAR ; They have defensive shields that our ships cannot penetrate.
HAN ; We disable the shields. Kid, you worked there, what do you  got?
FINN ; I can do it.
HAN ; I like this guy.
FINN ; I can disable the shields. But I have to be there, on the planet--
HAN ; We'll get you there.
LEIA ; Han, how?
HAN ; If I told you, you wouldn't like it.
POE ; So we disable the shields, take out the oscillator and we blow up theirbig gun. All right. Let's go!
HAN ; Chewie, check that donal capitator. Come on. Let's go. -- Finn, be careful with those - they're explosives.
FINN ; Now you tell me?
LEIA ; No matter how much we fought, I've always hated watching you leave.
HAN ; That's what I did it. So you'd miss me.
LEIA ; I did miss you.
HAN ; It wasn't all bad, was it? Huh? Some of it was good.
LEIA ; Pretty good.
HAN ; Some things never change.
LEIA ; True. You still drive me crazy.
LEIA ; If you see our son again, bring him home.
STORMTROOPER ;Sir, sensors triggered in hangar 718. We're searching the area.
KYLO REN ; She's just beginning to test her  powers. The longer it takes to find her, the more dangerous she becomes.
FINN ; How are we getting in?
HAN ; Their shields have a fractional refresh rate. Keeps anything traveling slower than lightspeed from getting through.
FINN ; We're gonna make our landing approach at lightspeed?!
HAN ; Alright, Chewie, get ready.
HAN ; And Now!
HAN ; I AM PULLING UP!!!
HAN ; I get any higher, they'll see us!
OFFICER ;Sir, she was not found in hangar 718 but all troops are on alert.
KYLO REN ; Put every hangar on lock-down. She's going to try to steal a ship to--
KYLO REN ; Han Solo...
FINN ; The flooding tunnels are over that ridge. We'll get in that way.
HAN ; What was your job when you were base here?
FINN ; Sanitation.
HAN ; Sanitation? Then how do you know how to disable the shields?
FINN ; I don't. I'm just here to get Rey.
HAN ; People are counting on us! The galaxy is counting on us!
FINN ; Solo, we'll figure it out! We'll use the Force!
HAN ; That's not how the Force works--!
HAN ; Oh really, you're cold?
FINN ; Come on!
GENERAL HUX ; Report.
FIRST ORDER OFFICER ; Weapon charged in fifteen minutes, sir.
STORMTROOPER FN-9330; Hey!
HAN ; The longer we're here, less luck we're going to have. The shields?
FINN ; I have an idea about that. Han and Chewie follow Finn.
FINN ; Remember me?
CAPTAIN PHASMA ;FN-2187.
FINN ; Not anymore. The name's Finn, and I'm in charge. I'm in charge now, Phasma. I'm in charge.
HAN ; Bring it down. Bring it down.
FINN ; Follow me.
FINN ; You want me to blast that bucket off your head? Lower the shields.
CAPTAIN PHASMA ; You're making a big mistake.
FIN ; Do it.
FINN ; Solo, if this works, we're not going to have a lot of time to find Rey.
HAN ; Don't worry kid, we won't leave here without her.
CAPTAIN PHASMA ; You can't be so stupid as to think this will be easy. My troops will storm this block and kill you all.
FINN ; I disagree. What do we do with her?
HAN ; Is there a garbage chute? Trash compactor?
FINN ; Yeah, there is...
OFFICER ; General, their shields are down!
C-3PO; Thank the Maker!
LEIA ; Han did it! Send them in!
ADMIRAL STATURA ; Give Poe full authorization to attack.
GULCH ; Black Leader, go to sub-lights. On your call.
POE ; Roger, base red squad, blue squad,  take my lead.
YOLO ZIFF ; Dropping out of lightspeed.
POE ; Almost in range! Hit the target dead center, as many runs as we can get!
SNAP ; Approaching target.
GENERAL HUX ; Dispatch all squadrons...
COLONEL DATOO ; Yes, General.
POE ; Let's light it up!
ELLO ASTY ; But no damage!
POE ; Yeah, we gotta keep hitting it! Another bombing run! Remember, when that sun is gone, that weapon will be ready to fire! But as long as there's light, we got a chance.
POE ; Guys, we got a lot of company!
FINN ; We'll use the charges to blow that blast door. I'll go in and draw fire, but I'm gonna need cover.
HAN ; You sure you're up for this?
FINN ; Hell no  I'll go in find and try to find Rey The troopers'll be on our tail. We have to be ready for that. There's an access tunnel that'll leads Why are you doing that? Why are you doingthis? I'm trying to come up with a plan.
ADMIRAL ACKBAR ; The Oscillator's still standing.
OFFICER ; X-wings coming back for another round of attacks!
HAN ; Are you all right?
REY ; Yeah.
HAN ; Good.
FINN ; What happened -- did he hurt you?
REY ; Finn. What are you doing here?!
FINN ; We came back for you.
FINN ; What'd he say?
REY ; That it was your idea.
REY ; Thank you.
FINN ; How did you get away?
REY ; I can't explain it. And you wouldn't believe it.
HAN ; Escape now. Hug later.
SNAP ; I got one behind me. See it?
JESS ; Yeah, I'm on it!
JESS ; Furillo's been hit!
SNAP ; Watch out for ground fire!
HAN ; They're in trouble. We can't leave. My friend here has a bag full of explosives. Let's use 'em.
KAYDEL KO CONNIX ; General, are you seeing this?
VOBER DAND ; Two more X-wings down. That's half our fleet destroyed.
C-3PO;And their weapon will be fully charged in 10 minutes! It would take a miracle to save us now.
HAN ; That girl knows her stuff.
HAN ; We'll set the charges at every other column.
HAN ; You're right. That's a better idea. You take the top.I'll go down below. Detonator. We'll meet back here.
KYLO REN ; Find them.
HAN ; Ben!
KYLO REN ; Han Solo. I've been waiting for this day for a long time.
HAN ; Take off that mask. You don't need it.
KYLO REN ; What do you think you'll see if I do?
HAN ; The face of my son.
KYLO REN ; Your son is gone. He was weak and foolish, like his father. So I destroyed him.
HAN ; That's what Snoke wants you to believe but it's not true. My son is alive.
KYLO REN ; No. The Supreme Leader is wise.
HAN ; Snoke is using you for your power. When he gets what he wants, he'll crush you -- you know it's true.
KYLO REN ; It's too late.
HAN ; No it's not. Leave here with me. Come home. We miss you.
KYLO REN ; I'm being torn apart. I want to be free of this pain.
KYLO REN ; I know what I have to do, but I don't know if I have the strength to do  it. Will you help me?
HAN ; Yes. Anything.
KYLO REN ; Thank you.
FINN ; Solo.
REY ; No, no.
ADMIRAL ACKBAR ; The Oscillator's been damaged but is still functional.
OFFICER TABALA ZO ; Admiral, their weapon will fire in two minutes.
FINN ; The Falcon's this way.
KYLO REN ; We're not done yet.
REY ; You're a monster!
KYLO REN ; It's just us now. Han Solo can't save you.
FINN ; Rey! Rey! Rey... Rey... Oh no. O  no no no...
KYLO REN ; TRAITOR!
KYLO REN ; That lightsaber. It belongs to me!
FINN ; Come get it.
NIV LEK ;We just lost R-1!
JESS ; We're overwhelmed! What do we do? It isn't working!
YOLO ZIFF ; Black Leader, there's a brand new hole in that oscillator. Looks like our friends got in!
POE ; Red Four! Red Six! Cover us!
LT. BASTIAN ; I'm on it!
ELLO ASTY ; Roger!
POE ; Everybody else, hit the target hard! Give it everything you got!
POE ; I need some help here! I need some help!
LT. BASTIAN ; I'm coming in!
JESS ; Watch out!
ELLO ASTY ; I'm hit!
POE ; All teams - I'm going in! Pull up and cover me!
NIV LEK ; Copy that, Black Leader! Good luck, Poe!
STARKILLER TECHNICIAN ; Weapon at full capacity in thirty seconds.
GENERAL HUX ; Prepare to fire.
KYLO REN ; You need a teacher! I can show you the ways of the Force!
REY ; The Force.
COLONEL DATOO ; Lieutenant, get back to your station!
YOUNG TECHNICIAN ; Just look. We won't survive  even Hux has gone!
GENERAL HUX ; Supreme Leader.
GENERAL HUX ;  The fuel cells have ruptured. The collapse of the planet has begun.
SNOKE ; Leave the base at once and come to  me with Kylo Ren. It is time to complete his training.
REY ; Finn! Finn...
POE ; All teams! I got eyes on them!
SNAP ; Yes!
POE ; Our job's done here. Let's go home!
MEDIC ; Easy, easy. He's hurt. We've got a heartbeat.
C-3PO;R2-D2! You've come back! You found what? How dare you call me that!
C-3PO;Find Master Luke how? Come, R2! We  must go tell the others at once!
C-3PO; General? Excuse me, General?
C-3PO;R2-D2 may contain some much needed  good news.
LEIA ; Tell me.
POE ; Yeah, all right, buddy, hold on --
C-3PO; Oh! The map! It is complete!
C-3PO; Oh my dear friend. How I've missed you.
REY ; We'll see each other again. I believe that. Thank you, my friend.
LEI ; Rey.
LEIA ; May the Force be with you.
