Name;parole
SOLA;It's obvious he has feelings foryou. Are you saying, little babysister, that you haven't noticed?
PADMÉ;I'm not your baby sister, Sola.Anakin and I are friends ourrelationship is strictlyprofessional.Mom, would you tell her to stop it?
SOLA;Well, maybe you haven't noticedthe way he looks at you. I thinkyou're afraid to.
PADMÉ;Cut it out.
JOBAL;Sola's just concerned we allare.
PADMÉ;Oh, Mom, you're impossible. WhatI'm doing is important.
JOBAL;You've done your service, Padmé.It's time you had a life of yourown. You're missing so much!
RUWEE;Now tell me, son. How serious isthis thing? How much danger is mydaughter really in?
ANAKIN;There have been two attempts onher life. Chances are there'll bemore. My Master is tracking downthe assassins. I'm sure he'll findout who they are. This situation,won't last long.
RUWEE;I don't want anything to happen toher.
ANAKIN;I don't either.
PADME;Don't worry, this won't take long.
ANAKIN;I just want to get there beforedark.
ANAKIN;You still live at home.
PADME;I move around so much, I've neverhad a place of my own. Officialresidences have no warmth. I feelgood here. I feel at home.
ANAKIN;I never had a real home. Home wasalways where my Mom was.
ANAKIN;Is this you?
PADME;That was when I went with theRelief Group to Shadda-Bi-Boran.Their sun was imploding, and theplanet was dying. I was helpingto relocate the children. Seethat little one I'm holding? Hisname was N'a-kee-tula, which meanssweethear. He was so full of life,. All those kids were. I dideverything I could to save him,but he died they all did. Theywere never able to adapt tolive off their native planet.
PADME;My first day as an ApprenticeLegislator. Notice the difference?
YODA;Don't think feel be as onewith the Force. Help you, it will.Younglings - enough! A visitor wehave. Welcome him.
YODA;Master Obi-Wan Kenobi, meet themighty Bear Clan.
CHILDREN;Welcome, Master Obi-Wan!
OBI-WAN;I am sorry to disturb you, Master.
YODA;What help to you, can I be?
OBI-WAN;I’m looking for a planet describedto me by an old friend. I trusthim. But the system doesn’t showup on the archive maps.
YODA;An interesting puzzle. Gatherround the map reader, younglings.Master Obi-Wan has lost a planet.Find it, we will try
OBI-WAN;This is where it ought to bebut it isn’t. Gravity is pullingall the stars in this area inwardto this spot. There should be astar here but there isn’t.
YODA;Most interesting. Gravity’ssilhouette remains, but the starand all its planets havedisappeared. How can this be?
JEDI CHILD JACK;Because someone erased it from thearchive memory.
CHILDREN;That’s right! Yes! That’s whathappened! Someone erased it!
JEDI CHILD MAY;If the planet blew up, the gravitywould go away.
YODA;Truly wonderful, the mind of achild is. Uncluttered. To thecentre of the pull of gravity go,and find your planet you will.
OBI-WAN;But Master Yoda who could haveerased information from thearchives? That’s impossible,isn’t it?
YODA;Much harder to answer, thatquestion is.
PADMÉ;When I was in Level Three, we usedto come here for school retreat.See that island? We used to swimthere every day. I love the water.
ANAKIN;I do too. I guess it comes fromgrowing up on a desert planet.
PADMÉ;We used to lie on the sand andlet the sun dry us and try toguess the names of the birdssinging.
ANAKIN;I don’t like sand. It’s coarseand rough and irritating, and itgets everywhere. Not like here.Here everything’s soft andsmooth
PADMÉ;There was a very old man who livedon the island. He used to makeglass out of sand - and vases andnecklaces out of the glass. Theywere magical.
ANAKIN;Everything here is magical.
PADMÉ;You could look into the glass andsee the water. The way it ripplesand moves. It looked so realbut it wasn’t.
ANAKIN;Sometimes, when you believesomething to be real, it becomesreal. Real enough, anyway
PADMÉ;I used to think if you looked toodeeply into glass, you wouldlose yourself.
ANAKIN;I think it's true
PADMÉ;I shouldn't have done that.
ANAKIN;I'm sorry. When I'm around you,my mind is no longer my own.
PADMÉ;It's the situation the stress
ANAKIN;the view.
MACE WINDU;Be wary, this disturbance in theForce is growing stronger.
OBI-WAN;I am concerned for my Padawan. Heis not ready to be on his own.
YODA;The Council is confident in this decision,Obi-Wan.
MACE;He has exceptional skills. TheCouncil is confident in itsdecision, Obi-Wan. If theprophecy is true, he weill be theone to bring balance to the Force.
OBI-WAN;But he still has much to learn.And his abilities have made himwell arrogant. I realise nowwhat you and Master Yoda knew fromthe beginning the boy was tooold to start the training and
MACE WINDU;There's something else?
OBI-WAN;Master, he should not have beengiven this assignment. I'm afraidAnakin won't be able to protectthe Senator. 
MACE WINDU;Why?
OBI-WAN;He has a an emotionalconnection with her. It's beenthere since he was boy. Nowhe's confused distracted.
MACE-WINDU;Obi-Wan, you must have faith thathe will take the right path.
OBI-WAN;Has Master Yoda gained any insightinto whether or not this war willcome about?
MACE WINDU;Probing the Dark Side is adangerous process. He could be inseclusion for days May theforce be with you.
PADME;You did that?
ANAKIN;What?
PADME;That! Now stop it!
PADME;Anakin!!
ANAKIN;I'm not really supposed to dothat for fun, I mean. IfMaster Obi-Wan were here, he'd bevery grumpy.
ANAKIN;May I tell you something?
PADME;I don't know.
ANAKIN;Then how can I tell you?
PADME;Maybe you should use your Jediintuition.
ANAKIN;It doesn't work around you. Mymind is always a muddle I canonly think of you.
PADME;Anakin, don't
ANAKIN;From the moment I met you, allthose years ago, a day hasn't goneby when I haven't thought of you.And now that I'm close to you again,I'm in agony. The closer I get toyou, the worse it gets. Thethought of not being with youmskes my stomach turn over - mymouth goes dry. I feel dizzy. Ican't breathe. I'm haunted by thekiss you should never have givenme. My heart is beating, hopingthat kiss will not become a scar.You are in my very soul,tormenting me. What can I do? Iwill do anything you ask
ANAKIN;If you are suffering as much as Iam, tell me.
PADME;I can't. We can't. It's justnot possible.
ANAKIN;Anything's possible. Padme,please listen
PADME;You listen. We live in a realworld. Come back to it. You'restudying to become a Jedi Knight.I'm a Senator. If you follow yourthoughts through to conclusion,they will take us to a place wecannot go regardless of the waywe feel about each other.
ANAKIN;Then you do feel something!There's an extraordinaryconnection between us. You can'tdeny that.
PADME;Annie, it doesn't make anydifference. Jedi aren't allowedto marry. You swore an oath,remember? You'd be expelled fromthe Order. I will not let yougive up your responsibilitiesyour future, for me.
ANAKIN;I was destined to be a Jedi. Idon't think I could be anythingelse. But you are asking me to berational. That is something Iknow I cannot do. I wish I couldwish my feelings away but Ican't.
PADME;I am not going to give into this.I'm not going to throw my lifeaway. I have more important thingsto do than fall in love.
ANAKIN;It wouldn't have to be that waywe could keep it a secret.
PADME;Then we'd be living a lie - one wecouldn't keep even if we wantedto. Mt sister saw it. So did mymother. I couldn't do that.Could you, Anakin? Could you livelike that?
ANAKIN;No, you're right. It woulddestroy us.
TAUN WE;Welcome to Tipoca City, MasterJedi.
TAUN WE;Everything is ready. The PrimeMinister expects you.
OBI-WAN;I'm expected?
TAUN WE;Of course! He is anxious to seeyou. After all these years, wewere beginning to think youweren't coming. Now please, thisway!
TAUN WE;May I present Lama Su, PrimeMinister of Kamino and this isMaster Jedi
OBI-WAN;Obi-Wan Kenobi.
LAMA SU;Please
LAMA SU;I trust you are going to enjoyyour stay. We are most happy youhave arrived at the best part ofthe season.
OBI-WAN;You make me feel most welcome.
LAMA SU;And now to business. You will bedelighted to hear we are onschedule. Two hundred thousandunits are ready, with anothermillion well on the way.
OBI-WAN;That is good news.
LAMA SU;Please tell your Master Sido-Dyasthat we have every confidence hisorder will be met on time and infull. He is well, I hope?
OBI-WAN;I'm sorry Master - ?
LAMA SU;Jedi Master Sifo-Dyas. He's stilla leading member of the JediCouncil, is he not?
OBI-WAN;Oh, yes. Sido-Dyas.
LAMA SU;You must be anxious to inspect theunits for yourself.
OBI-WAN;That's why I'm here.
PADMÉ;I don't know
ANAKIN;Sure you do you just don't wantto tell me.
PADMÉ;Are you going to use one of yourJedi mind tricks on me?
ANAKIN;They only work on the weak-minded.You are anything but weak-minded.
PADMÉ;All right his name was Palo.I was twelve. We were both in theLegislative Youth Program. He wasa few years older then I verycute dark curly hair dreamyeyes.
ANAKIN;All right, I get the picturewhatever happened to him?
PADMÉ;I went on to become a Queen. Hewent on to become an artist.
ANAKIN;Maybe he was the smart one.
PADME;You really don't like politicians,do you?
ANAKIN;I like two or three, but I'm notreally sure about one of them.I don't think the system works.
PADME;How would you have it work?
ANAKIN;We need a system where thepoliticians sit down and discussthe problems, agree what's in thebest interests of all the people,and then do it.
PADME;That is exactly what we do. Thetrouble is that people don'twlways agree. In fact, theyhardly ever do.
ANAKIN;Then they should be made to.
PADME;By whom? Who's going to make them?
ANAKIN;I don't know. Someone.
PADME;You?
ANAKIN;Of course not me.
PADME;But someone.
ANAKIN;Someone wise.
PADME;That sounds an awful lot like adictatorship to me.
ANAKIN;Well, if it works
PADMÉ;You're making fun of me.
ANAKIN;On no, I'd be much too frightenedto tease a Senator.
PADMÉ;You're so bad!
ANAKIN;You're always so serious. Alwayscarrying the weight of theuniverse on your shoulders.
LAMA SU;Magnificent, aren't they?
LAMA SU;We modified their geneticstructure to make them lessindependent than the originalhost. As a result they aretotally obedient, taking any orderwithout question.
OBI-WAM;Who was the original host?
LAMA SU;A bounty hunter called Jango Fett.We felt a Jedi would be theperfect choice, but Sido-Dyas hand-picked Jango Fett himself.
OBI-WAN;Where is this bounty hunter now?
LAMA SU;Oh, we keep him here. After a fewhundred thousand clones, thegenetic pattern starts to fade, sowe take a fresh supply. He liveshere, but he's free to come and goas he pleases.
LAMA SU;Apart from his pay, which isconsiderable, Fett demanded onlyone thing - an unaltered clone forhimself. Curious isn't it?
OBI-WAN;Unaltered?
LAMA SU;Pure genetic replication. Notampering with the structure tomake it more docile and nogrowth acceleration
OBI-WAN;I would like to meet this JangoFett.
TAUN WE;I would be most happy to arrangeit, for you.
OBI-WAN;You mentioned growthacceleration
LAMA SU;Oh yes, it's essential.Otherwise, a mature clone wouldtake a lifetime to grow. Now, wecan do it in half the time. Thoseitems you saw on the parade groundwere started ten years ago, whenSido-dyas first placed the order,and they're already mature
OBI-WAN;And these?
LAMA SU;About five years ago.
LAMA SU;They're immensely superior todroids, capable of independentthought and action.
OBI-WAN;Very impressive.
LAMA SU;I'd hoped you would be pleased. 
OBI-WAN;Tell me, prime minister, when myMaster Sido-dyas first contactedyou, did he say the order wasfor himself or?
LAMA SU;Himself? Of course not. Thisarmy is for the Republic?
OBI-WAN;The Repubic?
LAMA SU;We are also very much agasint thisCount Dooku and his seccessionistmovement. We are proud to be ofhelp to the Republic.
TAUN WE;I have arranged for you to meetJango Fett in the morning. Sleepwell.
OBI-WAN;Arfour, Arfour
OBI-WAN;"Arfour, relay this, ""scramble codefive,"" to Courscant: care of ""theold folks home."""
OBI-WAN;I've never heard of a Jedicalled Sido-Dyas, have you, Master?
MACE WINDU;No. Whoever placed that order wasnot a Jedi, I can assure you.
OBI-WAN ;I have a strong feeling that thisbounty hunter is the assassinwe're looking for.
YODA;Who he is working for discoverthat, you must.
OBI-WAN ;I will, Master, and I will alsofind out more about this clonearmy May The Force
WINDU ;A clone army! Ordered by someonein the Senate perhaps Someone'sout to start a war.
YODA;Inform the chancellor of this, wemust.
WINDU;Who do you think this impostorSido-Dyas, could be?
ANAKIN;NoNoNoMom!Don't,no, don't!
ANAKIN;Don't go.
PAMDE;I don't want to disturb you.
ANAKIN;Your presence is soothing.
PADME;You had a nightmare again lastnight.
ANAKIN;Jedi don't have nightmares.
PADME;I heard you.
ANAKIN;I saw my mother. I saw her asclearly as I see you now. She'ssuffering, Padme. She is inpainThey're killing herI know I'm disobeying my mandateto protect you, Senator. I know Iwill be punished and possiblythrown out of the Jedi Order, butI must go. I have to help her!I'm sorry, Padme. I don't have achoice.
PADME;Annie, I told you I wouldn't letyou give up your future for me.I'll go with you. That way youcan continue to protect me, andyou won't be disobeying yourmandate.
ANAKIN;What about Master Obi-wan?
PADME;I guess we won't tell him, will we?
TAUN WE;Boba, is your father here?
TAUN WE;May we see him?
BOBA FETT;Sure.
BOBA FETT;Dad! Taun We's here!
TAUN WE;Welcome back, Jango. Was yourtrip productive?
JANGO FETT;Fairly.
TAUN WE;This is Jedi Master, Obi-WanKenobi. He's come to check on ourprogress.
JANGO FETT;That right?
OBI-WAN;Your clones are very impressive.You must be very proud.
JANGO FETT;I'm just a simple man, trying tomake my way in the universe,Master Jedi.
OBI-WAN;Aren't we all?
OBI-WAN;Ever made your way as far into theinterior as Coruscant?
JANGO;Once or twice.
OBI-WAN;Recently?
JANGO;Possibly
OBI-WAN;Then you must know Master Sido-Dyas?
JANGO;Boba, close the door.
JANGO;Master who?
OBI-WAN;Sido-Dyas. Isn’t he the Jedi whohired you for this job?
JANGO;Never heard of him. I wasrecuited by a man called DarthTyranus on one of the moons ofBogden.
OBI-WAN;No? I thought
TAUN WE;Sido-Dyas told us to expect him.And he showed up just when yourJedi Master said he would. Wehave kept the Jedi’s involvementa secret until your arrival, justas your Master requested.
OBI-WAN;Curious
JANGO;Do you like your army?
OBI-WAN;It seems to me it's your army -being that they are all clones ofyou.
JANGO;They'll do their job well, I'llguarantee that.
OBI-WAN;I look forward to seeing them inaction. Thank you for your time,Jango.
JANGO;Always a pleasure to meet a Jedi.
BOBA;What is it, Dad?
ANAKIN;Wait, please.
WATTO;No, not that one - that one!
ANAKIN;Excuse me, Watto.
WATTO;What?
ANAKIN;I said excuse me.
WATTO;Shut down.
WATTO;What? I don't know you What canI do for you? You look like aJedi. Whatever it is I didn'tdo it.
ANAKIN;Let me help you with that.
ANAKIN;I'm looking for Shmi Skywalker.
WATTO;Annie?? Little Annie?? Naaaah!!
WATTO;You are Annie! It is you! Youlittle womp rat.
WATTO;You sure sprouted Weehoo! AJedi! Waddya know? Hey, maybeyou couldda help wit somedaedbeats who owe
ANAKIN;My mother
WATTO;Oh, yeah. Shmi she's not mineno more. I sold her.
ANAKIN;Sold her
WATTO;Years ago. Sorry, Anne, but youknow, business is business.Sold her to a moisture farmernamed Lars. Least I think it wasLars. Believe it or not, I heardhe freed her and married her. Canya beat that?
ANAKIN;Do you know where they are?
WATTO;Long way from here someplaceover on the other side of MosEisley, I think
ANAKIN;I'd like to know.
WATTO;Yeah sure absolutely. Let'sgo look in my records.
LAMA SU;Tell your Council the firstbattalions are ready. And remindthem that if they need moretroops, we will need time to growthem.
OBI-WAN;I won't forget.
BOBA FETT;Dad!!
PADME;Stay with the ship, Artoo.
C-3PO;Good evening. May I help you?
ANAKIN;Threepio?
C-3PO;Oh, my oh, my! MasterAnakin! My goodness, I can hardlybelieve it! And this must be MissPadme.
PADME;Hello, Threepio.
ANAKIN;I've come to see my mother.
C-3PO;Oh, dear! I'm so terribly sorry,Master Annie.
PADME;Threepio, what's happened?
C-3PO;I think we'd better go inside.
C-3PO;Master Lars - Master Owen!Somebody to see you!
ANAKIN;I'm Anakin Skywalker. I'm herelooking for my mother.
OWEN;Owen Lars I guess I'm yourstep-brother.This is my girlfriend, Beru.
BERU;Hello.
PADME;I'm Padme.
OWEN;I had a feeling you might show upsome day.
ANAKIN;Is my mother here?
CLIEGG;No, she's not.
CLIEGG;Cliegg Lars. Shmi is my wifeCome on inside. We have a lot totalk about.
CLIEGG ;It was just before dawn. Theycame out of nowhere. A huntingparty of Tusekn Raiders.
CLIEGG;Your mother had gone out early,like she always did, to pickmushrooms that grow on thevaporatos. From the tracks, shewas about halfway when theytook her. Those Tuskens walk likemen, but they're vicious, mindlessmonsters. Thirty of us went outafter her. Four of us came back.Three more are still out therelooking. I'd be with them,only I just couldn't ride anymore until I heal.
CLIEGG;This isn't the way I wanted tomeet you, son. This isn't howyour mother and I planned it. Idon't want to give up on her, butshe's been gone a month. There'slittle hope she's lasted this long.
OWEN;Where are you going?
ANAKIN;To find my mother.
PADME;No, Annie!
CLIEGG;She's daed, son. Accept it.
ANAKIN;I can feel her pain, and I willfind her. I know she's alive.
ANAKIN;You are going to have to stayhere. These are good people,Padme. You'll be safe.
OWEN;Take my speeder bike.
PADME;Anakin
ANAKIN;I trust you'll watch over her,Owen.
OWEN;Don't worry.
ANAKIN;I won't be long.
JANGO FETT;Nearly there, son.
BOBA FETT;Dad, look!!
JANGO FETT;Hang on!
BOBA FETT;Dad! Watch out!
JANGO FETT;Stay calm, son. We'll be fine.That Jedi won't be able to followus through this.
BOBA FETT;Got him! Yeahhhhh!
JANGO FETT;We won't see him again.
C-3PO;Please don't leave us, Miss Padme.These people need your help.
PADME;I'm not leaving, Threepio. I justcan't sleep.
C-3PO;That's something I cannot relateto. As a Protocol Droid, I'meither active or inactive.There's no in-between.
PADME;I guess you're lucky.
C-3PO;Do you really think so..? Isuppose I shouldn't expect
PADME;You're not happy here?
C-3PO;Oh, I'm not unhappy and mymasters here ar so kind Iwouldn't wish to trouuble them,it's just being like thiswell, it's embarrassing.
PADME;Being like what?
C-3PO;Naked. If you pardon theexpression. You see, when MasterAnnie made me, he never quitefound the time to give me anyouter covering. It's sohumiliating. How would you like itif you had to go around with allyour circuits showing?
PADME;I guess I wouldn't like it at all.
C-3PO;Of course you wouldn't. Nobodywould. It's simply not protocol.
PADME;Maybe we can do something about it.
C-3PO;I don't think so. Only MasterAnnie
PADME;Why not? They seem to have a boxof old coverings here.
C-3PO;Oh? How observant of you, MissPadme. Of course, I'm just notmechanically minded if you seewhat I mean.
PADME;Let's see, if we put thishere
C-3PO;Ooooh! That's tickles.
PADME;You'll have to be quiet, Threepio.Hold still, please.
ANAKIN;Mom Mom Mom 
SHMI;Annie? Is it you?
ANAKIN;I’m here, Mom. You’re safe. Hangon. I’m going to get you out ofhere
SHMI;I’m so glad to see you,Annie Now I am complete
ANAKIN;Just stay with me, Mom. I’m goingto make you well again.Everything’s going to be fine.
SHMI;You look so handsome. My sonmy grown-up son. I’m so proud ofyou, Annie so proud I missedyou so much I love
OBI-WAN;"home."""
OBI-WAN;Starships from the TradeFederation and the Commerce Guildsare taking deliveries of battledroids from the foundries onGeonosis.
BAIL ORGANA;That's outrageous! The treatyforbids the Trade Federation frombuilding up an army. What arethey doing?!
OBI-WAN;The droid foundry seems to beworking at full capacity. I amgoing to go down and investigate.I will bring Jango Fett back homefor interrogation.
PALPATINE;Those Geonosian foundries are partof the Techno Union. We will callin their representatives and askthem a few very pointed questions.
OBI-WAN;One more thing. Jango mentionedhe was recruited by someone namedDarth Tyranus. Any idea who thatmight be?
YODA;With the forename Darth, a Sith hemust be.
MACE WINDU;Our missing apprentice. They areplaying their hand at last.
OBI-WAN;Do you believe he could be themysterious Sido-Dyas, who made thedeal for the clone army?
YODA;Perhaps too many pieces are missingfrom this puzzle, there are.
MACE WINDU;Be careful, Obi-Wan. Thisinvestigation is becoming lessthan routine. Do you need help?
OBI-WAN;Let me see if I can figure outwhat's going on first.
BAIL ORGANA;The Commerce Guilds are preparingfor war there can be no doubtof that.
PALPATINE;Count Dooku must have made atreaty with them.
MACE WINDU;We must stop them soon beforethey're fully ready.
SENATOR ASK AAK;The debate is over, we needthat clone army now!
BAIL ORGANA;Unfortunately, the debate is notover. The Senate will never beable to approve the use of thatarmy before the separatistsattack.
MAS AMEDDA;This is a crisis! If the Senatevotes the Chancellor emergencypowers, he could approve the useof the army in a minute.
PALPATINE;Please, please, I don't wish tohave emergency powers. That's tooextreme a solution. It's akin toa dictatorship. We must rely onthe Jedi. Master Yoda, how manyare available to go to Geonosis?
YODA;Two Hundred, less or more.
BAIL ORGANA;With all due respect for the JediOrder, two hundred will be nomatch for hundreds of thousands ofbattle droids.
MACE WINDU;Patience. We should wait for Obi-Wan to report back. We don't knowthat Count Dooku has made a treatywith the Corporate Alliance, it'sspeculation.
SENATOR ASK AAK;But we must prepare for the worst.I'm going to propose a motiongranting emergency powers to theChancellor at the next session. Wemust not wait!
PALPATINE;Out of the question, Senator! Youand I are too closely aligned.The issue will become partisan anddebates will begin. The proposalmust come from a neutral source.
MAS AMEDDA;If only Senator Amidala were here.
JAR JAR;Supreme Chancellor my augustcolleagues, I would be proud topropose the motion in question.This is a grave situation, and I'msure Senator Amidala, and theQueen of Naboo would agree.
SENATOR ASK AAK;Thank you, Representative Binks.
PALPATINE;If called upon, I will serve. Butit will be the saddest day of mylife.
PADME;There!
C-3PO;Um. How do I look?
OWEN;Great! You look perfect.
C-3PO;Perfect? Oh, Miss Padme, I'm sohappy!Oh, pardon me.
THREEPIO;Thank you.
C-3PO;Thank you! Thank you! Thank you!
OWEN;Well, Padme, I think he should beyours from now on I know thatis what my Mom would want.
C-3PO;Oh, my!
BERU ;Come topside, everybody! He'sback! He's back!
OBI-WAN;Alliance have pledged theirarmies to Count Dooku and areforming an Wait! ahattack I don't make itaaaggghhh!
ANAKIN;I'm going after him!
PADME;I thought the first thing he saidwas to retransmit his message toCoruscant.
ANAKIN;Yeah, you're right, you're right.
MACE WINDU;We will deal with Count Dooku. Themost important thing for you,Anakin, is to stay where you are.Protect the Senator at all costs.That is your priority.
ANAKIN;Understood, Master.
PADME;They'll never get there in time tosave him. They have to come halfway across the galaxy. Look,Geonosis is less than a parsec away.
ANAKIN;If he's still alive.
PADME;Annie, are you just going to sithere and let him die?? He's yourfriend your mentor
ANAKIN;He's like my father, but youheard Master Windu. He gave mestrict orders to stay here.
PADME;He gave you strict orders toprotect me
PADME;and I'm going to save Obi-Wan.So if you plan to protect me, youwill have to come along.
MACE WINDU;The longer we wait, the strongerDooku's armies become. We cannotwait for the Senate to make up itsmind about granting the Chancelloremergency powers, in order to beable to use that clone army Wehave the authority to go now. Wemust go now.
YODA;Agreed, Master Windu. Two hundredJedi send. Enough, let's hopethey are.
MAS AMEDDA;Order! Order!!
PALPATINE;In the regrettable absence ofSenator Amidala, the chairrecognises SeniorRepresentative of Naboo, Jar JarBinks.
JAR JAR;Senators, dellow felagates
MAS AMEDDA;Order! The Senate will accord theRepresentative the courtesy of ahearing!
JAR JAR;In response to the direct threatto the Republic from theConfederacy of IndependentSystems, I propose that the Senategives immediate emergency powers tothe Supreme Chancellor.
JAR JAR;Who can deny these are exceptionaltimes? Exceptional times demandexceptional measures!Exceptional measures demandexceptional men!
ORN FREE TAA;We won't support a dictator.
JAR JAR;That is the sentiment every one ofus agrees with! And when theshadow of war has dispersed andthe bright day of liberty hasdawned once again, the power we nowgive to the Supreme Chancellorwill be gladly, and swiftlyreturned. Out ancient libertieswill be restored to us, burnishedeven more brightly than before!
PALPATINE;It is with great reluctance thatI have agreed to this calling. Ilove democracy I love theRepublic. The fact that thiscrisis is demanding I be givenabsolute power to tule over you isevident. But I am mild by natureand have no desire to destroythe democratic process. The power yougive me I will lay down when thiscrisis has abated, I promise you.And all I ask in return is when mycurrent term of office is over,you allow me to reture and liveout my life in peace.
MAS AMEDDA;We shall proceed to the vote. Allthose in favor of grantingemergency powers to the SupremeChancellor, signal ate at thistime those opposed?
ANAKIN;Hey, where are you going?
PADME;To find Obi-Wan.
ANAKIN;No! You're not!
PADME;Let go of me!
ANAKIN;I'm not letting you go out there.It's too dangerous.
PADMÉ;What?!?
ANAKIN;It's my job to protect you. I saidit's too dangerous. You're notgoing, and that's final!
PADMÉ;Don't you give me orders, Annie!I'm a Senator of the GalacticRepublic. You have no authorityto contain me, restrain me, ordirect me! You remember yourplace, young man.Now you can come along and protectme or stay here. It's up to you.
C-3PO;Yes, it is, Artoo. Mostconfusing. One moment they'regenerating a pleasant mutualattraction and the next, waves ofviolent hostility. Even thoughI'm programmed to understand them,I doubt if I ever shall.
PADME;It's empty!
PADME;Wait!
COUNT DOOKU;Senator Amidala, I've heard somuch about you.
PADMÉ;Count Dooku, I assume.
COUNT DOOKU;I'm delighted to meet you atlast. We have a great deal todiscuss, Senator. I hope you cankeep your young Jedi under control.
PADMÉ;Don't worry he's housebroken.
PADMÉ;You are holding a Jedi Knight, Obi-Wan Kenobi. I am formallyrequesting you turn him over tome, now.
DOOKU;He has been convicted ofespionage, Senator, and will beexecuted. In just a few hours, Ibelieve.
PADMÉ;He is an officer of the Republic.You can't do that.
DOOKU;We don't recognise the Republichere, Senator. But if Naboo wereto join our Alliance, I couldeasily hear your plea for clemency.
PADMÉ;And if I don't join yourrebellion, I assume this Jedi withme will also die?
DOOKU;I don't wish to make you to joinour cause against your will,Senator, but you are a rational,honest representative of yourpeople and I assume you want to dowhat's in their best interest.Aren't you fed up with thecorruption, the bureaucrats, thehypocrisy of it all?.. Aren'tyou? Be honest, Senator.
PADMÉ;The ideals are still alive, Count,even if the institution is failing.
DOOKU;You believe in the same ideals webelieve in! The same ideals weare striving to make prominent.
PADMÉ;If what you say is true, youshould stay in the Republic andhelp Chancellor Palpatine putthings right.
DOOKU;The Chancellor means well, M'Ladybut he is incompetent. He haspromised to cut the bureaucracy,but the bureaucrats are strongerthan ever, no? Senator, theRepublic cannot be fixed. It istime to start over. Thedemocratic process in the Republicis a sham, a shell game playedon the voters. It will not be longbefore the cult of greed, calledthe Republic, will lose even thepretext of democracy and freedom.
PADMÉ;I cannot believe that. I will notforsake all I have honoured andworked for and betray theRepublic. I know of your treatieswith the Trade Federation, theCommerce Guilds, and the others,Count. What is happening here isnot government that has beenbought out by business it'sbusiness becoming government!
DOOKU;Are you willing to betray your Jedifriends? Without your co-operationI can do nothing to stop theirexecution.
PADMÉ;What is to happen to me? Am I to beexecuted also?
DOOKU;I wouldn't think of such anoffence. But, there areindividuals who have a stronginterest in your demise, M'lady.It has nothing to do withpolitics, I'm afraid. It's purelypersonal, and they have alreadypaid great sums to have youassassinated. I'm sure they willpush hard to have you included inthe executions. I'm sorry but ifyou are not going to co-operate, Imust turn you over to theGeonosians for justice. I've doneall I can for you.
JANGO FETT;I'll take that weapon.
DOOKU ;You may cause a lot of bloodshed,my young Jedi, but you will notescape.
PADMÉ;Anakin
SUN RIT;You have been charged and foundguilty of Espionage.
POGGLE;Do you have anything to say beforeyour sentence is carried out?
PADMÉ;You are committing an act of war,Archduke. I hope you are preparedfor the consequences.
POGGLE;We build weapons, Senator thatis our business! Of course we'reprepared!
NUTE GUNRAY;Get on with it. Carry out thesentence. I want to see her suffer.
POGGLE;Your other Jedi friend is waitingfor you, Senator. Take them tothe arena!
ANAKIN;Don't be afraid.
PADMÉ;I'm not afraid to die. I've beendying a little bit each day sinceyou came back into my life.
ANAKIN;What are you talking about?
PADMÉ;I love you.
ANAKIN;You love me?! I thought wedecided not to fall in love. Thatwe would be forced to live a lie.That it would destroy our lives
PADMÉ;I think our lives are about to bedestroyed anyway. My love for youis a puzzle, Annie, for which Ihave no answers. I can't controlit and now I don't care. Itruly, deeply love you, and beforewe die I want you to know.
ANAKIN;I have no desire to be cured ofthis love either. Long or short,I vow to spend the rest of my lifewith you.
OBI-WAN;I was beginning to wonder if youhad gotten my message.
ANAKIN;I retransmitted it as yourequested, Master. Then we decidedto come and rescue you.
OBI-WAN;It looks like you're going a goodjob so far.
SUN RIT;The felons before you have beenconvicted of espionage against theSovereign System of Geonosis.Their sentence of death is to becarried out in this public arenahenceforth.
POGGLE;Let the executions begin!
ANAKIN;I have a bad feeling about this.
OBI-WAN;Take the one the left. I'lltake the one on the right.
ANAKIN;What about Padme?
OBI-WAN;It looks like she's already on topof things.
NUTE GUNRAY;Foul!! She can't do that shoother or something!
ANAKIN;You okay?
PADME;Sure! Well, sort of.
ANAKIN;Jump!!!
NUTE GUNRAY;This isn't how it's supposed tobe! Jango, finish her off.
COUNT DOOKU;Patiece, Viceroy she will die.Maybe this is the way it'ssupposed to end.
C-3PO;Yes, it has been rather a longtime. Do you suppose something'shappened to them?
C-3PO;Danger? Oh no, I shouldn't thinkso. It looks a very dull planetto me. They should be backshortly. Just stop worrying, Artoo.
COUNT DOOKU;Master Windu, how pleasant of youto join us. You're just in timefor the moment of truth. I wouldthink these two new boys of yourscould use a little more training.
MACE WINDU;Sorry to disappoint you, Dooku.This party's over.
COUNT DOOKU;Brave, but stupid, my old Jedifriend. You're impossiblyoutnumbered.
MACE WINDU;I don't think so. One Jedi has tobe worth a hundred Geonosians.
COUNT DOOKU;It wasn't the Geonosians I wasthinking about. How well do youthink one Jedi will hold upagainst a thousand battle droids?
C-3PO;I don't hear anything.You're scaring me! Stop imaginingthings!
OBI-WAN;Someone's got to - shut down -these droids.
MACE WINDU;Don't worry! It's being - takencare of!
PLO KOON;We've done it! Now we have achance!
KI-ADI-MUNDI;The system's off but they're stillactive. That's a new feature. Theyare independent of the controlsystem.
COUNT DOOKU;Master Windu!
